distance(km),height(m),distance(km),height(m)
0.029766463,10.264605,0.028342148,20.877262
0.08722242,10.136406,0.088083617,26.395197
0.14677726,13.241719,0.14838578,32.400154
0.20494363,17.493061,0.20685512,36.991337
0.26516473,21.621761,0.26691651,44.38945
0.32606134,26.790001,0.32780892,46.979797
0.38565853,30.629183,0.38743252,49.161835
0.44508082,33.902893,0.44721869,54.069672
0.5062446,36.962299,0.5083372,60.622097
0.5666458,42.756729,0.56849039,67.951073
0.62602657,45.684711,0.62767017,77.297607
0.6856457,48.617817,0.6880995,86.489143
0.74649,48.890324,0.74828821,94.531517
0.80699146,52.9538,0.80855799,101.86738
0.86661929,53.94157,0.86870873,109.0704
0.92599088,55.564751,0.92834193,115.82207
0.98663032,55.491684,0.98873454,122.38513
1.0471871,57.540699,1.0490695,129.49052
1.1067203,59.410801,1.1085811,134.95639
1.1661489,62.461166,1.1683209,139.84599
1.2268214,64.869522,1.2287803,142.7238
1.2872185,70.839149,1.2894063,147.64064
1.3468057,71.943047,1.3495369,155.14056
1.4061743,73.772903,1.4088386,161.67979
1.4667248,72.554619,1.4687288,168.3287
1.5273141,73.397301,1.529388,171.63004
1.5870442,73.322052,1.5895494,173.30714
1.6463176,72.904106,1.6492788,171.60535
1.7066272,70.110374,1.7095084,171.48427
1.7672995,69.268456,1.7699656,171.75897
1.8271999,69.272636,1.8299334,176.29584
1.8867288,70.789474,1.8895311,186.12239
1.9466634,72.8526,1.9493828,191.25755
2.0072198,75.368675,2.0097733,196.8714
2.0674641,78.031189,2.0700655,202.79768
2.1271989,81.345367,2.1299438,206.84172
2.1868038,83.976425,2.1894851,206.51178
2.2471907,85.014259,2.2491629,203.30261
2.3075969,88.90963,2.3093252,202.35797
2.3673463,91.182617,2.3696723,197.78162
2.4269106,95.472336,2.4295008,193.65118
2.4875915,97.947914,2.489573,191.25699
2.548265,104.36775,2.5500944,192.32692
2.6076155,108.26196,2.6095817,192.99139
2.6669633,111.50789,2.6689842,189.45972
2.7277,114.82381,2.7293966,186.33438
2.78844,123.28205,2.7899995,187.32692
2.8481202,131.18118,2.8497727,190.54311
2.9077966,135.55347,2.9095664,193.14133
2.9682157,138.37331,2.9698157,194.14468
3.0286207,146.66469,3.0299163,193.35237
3.0883701,152.95229,3.089705,191.64047
3.1479256,157.04187,3.1494515,190.20586
3.2086174,158.714,3.2098324,189.83104
3.2689981,166.01305,3.2699027,190.60722
3.3284931,170.02089,3.3295214,196.17223
3.388227,172.2014,3.3896048,199.78532
3.4488044,172.25728,3.4496481,203.08974
3.5093775,176.0676,3.5097842,210.80968
3.568979,178.60887,3.5698938,219.46478
3.6285176,184.65765,3.6297958,225.63983
3.6889565,188.16048,3.6895745,232.09804
3.7495446,193.93327,3.7496939,239.89592
3.8094823,198.42972,3.8100538,247.57997
3.8690484,203.44344,3.8696969,252.60989
3.9293115,208.49556,3.9293928,258.0163
3.9897628,214.53847,3.9898419,264.42151
4.0497661,221.28729,4.0501556,270.77292
4.1093659,228.03343,4.109736,278.69205
4.1690412,235.38771,4.1695027,282.59369
4.2293763,241.98711,4.22962,287.36017
4.2895269,252.13591,4.2894459,287.90417
4.3492918,262.08374,4.3492923,290.75272
4.4091592,272.75101,4.4093871,295.08215
4.4697309,283.69852,4.4698348,302.03763
4.5299678,295.82339,4.5299902,305.2146
4.5893736,305.49899,4.5896764,310.52631
4.6490617,314.18942,4.6494513,315.05176
4.709456,325.00296,4.7093377,320.51422
4.7699876,333.80444,4.7697363,320.091
4.8298965,340.94415,4.8300438,322.24341
4.8892431,344.42355,4.8894567,324.84116
4.9493117,351.28613,4.949295,326.31384
5.0099368,360.49188,5.0100408,322.28787
5.0697346,371.19531,5.0701241,319.84668
5.1293893,377.20062,5.129365,317.56619
5.1896148,378.77444,5.1894736,317.99353
5.2498417,381.53217,5.2499948,318.0636
5.3096185,383.34589,5.3099399,321.58765
5.3694549,387.16837,5.3696027,324.94794
5.4299021,389.17331,5.4296665,329.8663
5.490191,398.09137,5.4900546,334.22891
5.5496097,409.5871,5.5499349,340.54373
5.6092677,417.71912,5.6095114,339.98563
5.6696887,426.98001,5.6695437,342.10623
5.730124,442.16278,5.7299609,345.94885
5.7901144,450.67923,5.790061,346.06528
5.8497667,457.18704,5.8497982,353.81638
5.9097614,463.1008,5.9096398,360.21036
5.9699178,477.71561,5.9697313,365.92575
6.0299821,493.08206,6.0301013,373.7182
6.0898829,505.89651,6.0898619,378.73273
6.1492205,518.20581,6.1491709,385.67743
6.2092371,521.38324,6.2094688,387.06903
6.2697759,531.0816,6.2699184,383.82874
6.3296146,533.97241,6.3297257,378.4404
6.389348,537.565,6.3894949,378.22812
6.4496441,535.00201,6.449821,384.88852
6.5097842,548.0863,6.5100551,389.86459
6.5694518,557.09186,6.5697808,392.71396
6.6292262,559.8678,6.6293774,393.90045
6.689611,551.10681,6.6895452,397.20367
6.750164,552.69794,6.7502427,392.28586
6.8098707,555.32001,6.8102269,391.25305
6.8693013,560.81854,6.8695502,393.77902
6.9294987,561.26398,6.929543,397.92398
6.9898605,563.65234,6.9901776,405.20218
7.0498285,572.10364,7.0501313,411.91565
7.1095099,576.35913,7.1094956,420.03348
7.169383,578.87476,7.1694493,430.75925
7.2297688,587.25635,7.2300425,434.08597
7.2898641,593.16138,7.2901597,438.76053
7.3495889,596.54669,7.3496375,443.66629
7.4096084,593.03845,7.4096413,447.36313
7.4699087,598.39777,7.4701705,449.73886
7.5299449,604.74768,7.5301552,451.99445
7.5894475,602.69476,7.5896006,458.38623
7.6496162,589.22412,7.6496396,476.17648
7.7100067,582.0946,7.7100401,487.8576
7.7699142,571.91821,7.7700582,487.77322
7.8294849,565.43622,7.8296943,484.81305
7.8895373,555.79236,7.8894796,477.57111
7.9499311,554.90686,7.9498081,474.01736
8.010088,556.97345,8.0103302,470.11719
8.0697041,556.06372,8.0700989,466.53119
8.1291151,549.966,8.1292458,462.88031
8.1892452,539.63965,8.1892109,457.7554
8.2497568,539.66632,8.2497978,450.93546
8.3097668,544.0296,8.3098965,442.55789
8.3693724,545.99689,8.3695621,436.25446
8.4294987,549.45746,8.4297562,434.15012
8.4898815,567.82825,8.4901114,435.17679
8.5496368,582.18591,8.5498028,437.8494
8.6091833,595.69794,8.6092148,443.02893
8.6694384,604.6275,8.6696377,442.91425
8.7299662,609.92047,8.7301884,450.14618
8.7897148,609.98157,8.7897301,460.6604
8.8491316,606.38104,8.8491964,468.91647
8.9095526,608.1178,8.9096642,478.25134
8.970088,615.8031,8.9703646,486.39163
9.0296621,627.48773,9.0301962,493.78366
9.0892019,640.13757,9.0896435,499.37793
9.1495953,650.10358,9.1496601,506.81494
9.2101498,660.49493,9.2103138,515.15997
9.2699327,668.0257,9.2701988,524.3374
9.3294382,673.48108,9.3295822,533.65668
9.38974,675.99103,9.3896742,545.99133
9.4500093,680.15643,9.4500504,551.33881
9.5097399,687.70233,9.5100508,554.97913
9.5695276,693.95404,9.5696507,558.92126
9.6297245,694.96082,9.6298094,564.31818
9.689949,697.04779,9.6901741,560.13611
9.7499218,703.34521,9.7501745,551.68237
9.8095779,716.40576,9.8098841,543.48889
9.8696823,730.42871,9.8697214,536.10358
9.9299574,741.53052,9.9299631,525.70416
9.9898357,745.57025,9.9899168,517.41058
10.049474,747.26257,10.049753,507.57565
10.109452,753.12573,10.109441,491.48279
10.1699,754.15521,10.16963,474.98499
10.229859,761.16907,10.230124,465.66849
10.289404,772.74567,10.289747,459.28873
10.349237,787.42944,10.349161,453.68805
10.409695,797.60138,10.409466,445.55054
10.469886,807.56647,10.470202,444.70078
10.52945,819.06036,10.529892,441.88419
10.58917,826.5127,10.589165,439.60132
10.649647,832.24927,10.649632,433.42004
10.710028,834.35437,10.710338,431.05045
10.769687,834.12872,10.77006,429.77322
10.829352,833.36292,10.829334,428.12555
10.889544,835.07104,10.889605,421.42032
10.949929,830.50201,10.950182,421.6528
11.009878,825.52545,11.010009,417.81497
