ID,name,X,Y,logitude,latitude,Elevation
LFG,龍鳳谷,303134.125,2781720.48,121.527,25.143,200
YGX,陽明山國小,305742.182,2779172.271,121.553,25.120,288
YGC,陽管處,305144.797,2783168.485,121.548,25.156,532
ANBU,鞍部,303419.175,2786152.357,121.530,25.183,825
MHH,夢幻湖,306651.019,2784614.686,121.562,25.169,786
QIGU,七股,307853.594,2786281.307,121.574,25.184,450
SH,三合國小,310658.44,2790170.538,121.602,25.218,55
JS,金山高中,314203.546,2790819.935,121.637,25.224,13
YL,野柳,319432.324,2788772.609,121.690,25.206,0
WTT,烏塗炭,314521.705,2782988.234,121.640,25.154,250
LC,靈泉寺,311099.382,2781753.943,121.608,25.144,434
FGJ,風櫃嘴,310799.874,2781087.98,121.603,25.137,597
TXY,天溪園,309693.16,2780529.228,121.592,25.132,328
WL,衛理,305642.404,2777158.754,121.552,25.102,27
